Fecha,Vacio,Femenino,Masculino
2022-01-07,71.045197740113,7.853107344632768,25.084745762711865
2022-01-06,68.98305084745763,8.474576271186441,26.242937853107346
2022-01-05,72.99435028248588,13.163841807909604,20.73446327683616
2022-01-04,73.19209039548022,10.903954802259888,21.214689265536723
2022-01-03,65.64971751412429,9.519774011299434,30.3954802259887
2021-12-31,65.76271186440678,8.785310734463277,31.214689265536723
2021-12-30,61.29943502824859,14.209039548022599,32.28813559322034
2021-12-29,55.14124293785311,8.587570621468927,47.20338983050848
2021-12-28,52.59887005649718,28.728813559322035,23.983050847457626
2021-12-27,62.40112994350282,12.175141242937853,34.12429378531073
2021-12-26,67.28813559322033,7.090395480225989,27.966101694915253
2021-12-25,75.16949152542372,5.8192090395480225,21.440677966101696
2021-12-24,64.7457627118644,10.084745762711865,28.44632768361582
2021-12-23,66.55367231638418,8.587570621468927,29.03954802259887
2021-12-22,61.355932203389834,15.423728813559322,31.864406779661017
2021-12-21,77.97619047619048,13.095238095238095,17.857142857142858
2021-12-20,60.42372881355932,14.265536723163843,34.80225988700565
2021-12-19,89.12429378531074,0.6779661016949152,12.966101694915254
2021-12-18,69.66101694915254,7.401129943502825,29.26553672316384
2021-12-17,62.79661016949152,8.44632768361582,35.536723163841806
2021-12-16,52.03389830508475,21.242937853107346,36.69491525423729
2021-12-15,60.90395480225989,15.36723163841808,26.864406779661017
2021-12-14,67.20338983050847,10.649717514124294,29.06779661016949
2021-12-13,20.112994350282484,8.361581920903955,95.11299435028249
2021-12-12,72.909604519774,10.677966101694915,18.70056497175141
2021-12-11,76.86440677966101,5.028248587570621,21.89265536723164
2021-12-10,60.31073446327684,7.68361581920904,41.55367231638418
2021-12-09,65.0,7.68361581920904,36.86440677966102
2021-12-08,69.26553672316385,9.23728813559322,30.084745762711865
2021-12-07,63.61581920903955,13.27683615819209,29.576271186440678
2021-12-06,64.32203389830508,14.661016949152541,31.55367231638418
2021-12-05,74.18079096045197,9.03954802259887,21.89265536723164
2021-12-04,66.10495907558979,11.36254212806933,26.336061627347135
2021-12-03,75.36723163841808,9.63276836158192,17.45762711864407
2021-12-02,68.89830508474576,10.254237288135593,25.3954802259887
2021-12-01,62.71186440677966,15.0,29.124293785310734
2021-11-30,61.21468926553672,15.225988700564972,32.40112994350282
2021-11-29,59.40677966101695,15.225988700564972,36.5819209039548
2021-11-28,56.610169491525426,24.519774011299436,24.943502824858758
2021-11-27,76.10169491525424,9.943502824858758,16.1864406779661
2021-11-26,58.10734463276836,12.401129943502825,36.92090395480226
2021-11-25,61.9774011299435,17.937853107344633,25.282485875706215
2021-11-24,64.32203389830508,14.40677966101695,28.983050847457626
2021-11-23,64.49152542372882,15.847457627118644,31.638418079096045
2021-11-21,84.77401129943503,3.7570621468926553,15.3954802259887
2021-11-20,70.01977959875671,12.093811811246114,22.379203164735802
2021-11-19,60.42372881355932,18.615819209039547,25.451977401129945
2021-11-18,60.367231638418076,15.819209039548022,31.779661016949152
2021-11-16,59.43502824858757,20.310734463276837,24.83050847457627
2021-11-15,18.757062146892654,23.672316384180792,68.10734463276836
2021-11-14,67.53320146934162,12.037298671941226,22.379203164735802
2021-11-13,65.9322033898305,8.531073446327683,27.34463276836158
2021-11-12,66.7231638418079,7.627118644067797,29.322033898305083
2021-11-11,61.836158192090394,10.338983050847459,33.47457627118644
2021-11-10,69.85875706214689,8.44632768361582,29.322033898305083
2021-11-09,60.6,8.733333333333333,37.733333333333334
2021-11-08,62.6271186440678,5.480225988700565,36.271186440677965
2021-11-07,72.79661016949153,7.655367231638418,23.389830508474578
2021-11-06,71.63841807909604,7.090395480225989,22.740112994350284
2021-11-05,67.17514124293785,8.192090395480227,28.163841807909606
2021-11-04,60.97701149425287,6.005747126436781,40.0
2021-11-03,72.88135593220339,2.9096045197740112,29.03954802259887
2021-11-02,65.58101021253106,6.789953077560033,34.36378691691968
2021-10-30,73.81146427601195,7.470795979353436,21.89622385221407
2021-10-29,64.55767077267637,11.422172452407615,30.599104143337065
2021-10-28,63.1508319914117,16.317767042404725,28.529253891572733
2021-10-27,69.4267515923567,8.511870295309786,27.099015634047483
2021-10-26,48.1709019826864,16.838871823512985,43.00474727729684
